title,artist,recorded,mixed,mp3,note
Bent,Bizarre Star Strings,true,true,Bent.mp3,false
Devolute,Size 85 High Tops,true,true,Devolute.mp3,false
Cemetery Solitaire,Size 85 High Tops,true,true,Cemetery_Solitaire.mp3,false
Back In France,Jenny Conlee/Steve Drizos,true,true,Back_In_France.mp3,false
The Canyon,Jenny Conlee/Steve Drizos,true,true,The_Canyon.mp3,false
Secret Of You,Jesse Daniel Edwards,true,true,Secret_Of_You,false
Static,Steve Drizos,true,true,Static.mp3,false
Color Safe,Steve Drizos,true,true,Color_Safe.mp3,false
(One Night In) Berlin,Steve Drizos,true,true,One_Night_In_Berlin.mp3,false
Where Do My Bluebird Fly?,A Cat Named Grandpa (Kyleen King),true,true,Where_Do_My_Bluebird_Fly.mp3,additional recording by Bryan Daste
Peace Lights,Jerry Joseph,true,true,Peace_Lights.mp3,false
Speak With Your Heart,André Paraguassu,true,true,Speak_With_Your_Heart.mp3,false
Chicken Street,Jerry Joseph,false,true,Chicken_Street.mp3,false
